년도,시군구코드,시도명,,폴리곤,총사고건수,총사망자수,총중상자수,총경상자수,총부상신고자수,사고분석유형명,중심점UTMK X좌표,중심점UTMK Y좌표
2019,46230,전라남도 광양시내에서 2019년도에 반경100m 이내 다른사고4건 이상 발생지역,60050,"POLYGON  (( 1022538.57620000 1659590.15520000, 1022556.50900000 1659591.92150000, 1022575.26830000 1659597.61200000, 1022592.55700000 1659606.85300000, 1022607.71070000 1659619.28930000, 1022612.92890000 1659625.64770000, 1022613.71070000 1659626.28930000",7,0,3,14,1,기타 / 안전거리미확보,1022525,1659694
2019,46230,전라남도 광양시내에서 2019년도에 반경100m 이내 다른사고4건 이상 발생지역,60051,"POLYGON  (( 1017326.16140000 1660410.96900000, 1017336.00000000 1660410.00000000, 1017355.50900000 1660411.92150000, 1017374.26830000 1660417.61200000, 1017391.55700000 1660426.85300000, 1017406.71070000 1660439.28930000, 1017419.14700000 1660454.44300000",7,0,0,8,3,기타 / 안전거리미확보,1017292,1660523
2019,46230,전라남도 광양시내에서 2019년도에 반경100m 이내 다른사고4건 이상 발생지역,60052,"POLYGON  (( 1006091.00000000 1663240.00000000, 1006089.07850000 1663259.50900000, 1006083.38800000 1663278.26830000, 1006074.14700000 1663295.55700000, 1006071.27070000 1663299.06180000, 1006069.38800000 1663305.26830000, 1006060.14700000 1663322.55700000",4,0,1,3,0,기타,1005970,1663254
2019,46230,전라남도 광양시내에서 2019년도에 반경100m 이내 다른사고4건 이상 발생지역,60053,"POLYGON  (( 1016161.39790000 1661621.65430000, 1016168.38800000 1661634.73170000, 1016174.07850000 1661653.49100000, 1016176.00000000 1661673.00000000, 1016174.07850000 1661692.50900000, 1016168.38800000 1661711.26830000, 1016159.14700000 1661728.55700000",5,0,1,8,1,기타,1016066,1661662
2019,46230,전라남도 광양시내에서 2019년도에 반경100m 이내 다른사고4건 이상 발생지역,60054,"POLYGON  (( 1017916.00000000 1660413.00000000, 1017915.31060000 1660420.00000000, 1017916.00000000 1660427.00000000, 1017914.07850000 1660446.50900000, 1017908.38800000 1660465.26830000, 1017899.14700000 1660482.55700000, 1017886.71070000 1660497.71070000",4,0,1,7,0,기타,1017810,1660420
2019,46230,전라남도 광양시내에서 2019년도에 반경100m 이내 다른사고4건 이상 발생지역,60055,"POLYGON  (( 1018187.00000000 1660412.00000000, 1018186.92220000 1660412.78950000, 1018191.07850000 1660426.49100000, 1018193.00000000 1660446.00000000, 1018192.90150000 1660447.00000000, 1018193.00000000 1660448.00000000, 1018191.07850000 1660467.50900000",7,0,3,9,0,기타,1018079,1660432
2019,46230,전라남도 광양시내에서 2019년도에 반경100m 이내 다른사고4건 이상 발생지역,60056,"POLYGON  (( 1006894.00000000 1665086.00000000, 1006892.07850000 1665105.50900000, 1006886.38800000 1665124.26830000, 1006877.14700000 1665141.55700000, 1006864.71070000 1665156.71070000, 1006854.10100000 1665165.41780000, 1006848.14700000 1665176.55700000",4,0,2,4,0,기타,1006739,1665127
2019,46230,전라남도 광양시내에서 2019년도에 반경100m 이내 다른사고4건 이상 발생지역,60057,"POLYGON  (( 1008243.00000000 1664370.00000000, 1008241.07850000 1664389.50900000, 1008235.38800000 1664408.26830000, 1008226.14700000 1664425.55700000, 1008213.71070000 1664440.71070000, 1008198.55700000 1664453.14700000, 1008181.26830000 1664462.38800000",6,0,4,10,0,기타,1008085,1664406
2019,46230,전라남도 광양시내에서 2019년도에 반경100m 이내 다른사고4건 이상 발생지역,60058,"POLYGON  (( 1008270.00000000 1663820.00000000, 1008269.71210000 1663822.92340000, 1008271.00000000 1663836.00000000, 1008269.07850000 1663855.50900000, 1008263.38800000 1663874.26830000, 1008261.15710000 1663878.44200000, 1008262.00000000 1663887.00000000",18,0,4,23,2,기타 / 안전거리미확보,1008196,1663995
2019,46230,전라남도 광양시내에서 2019년도에 반경100m 이내 다른사고4건 이상 발생지역,60059,"POLYGON  (( 1009433.44950000 1663177.84690000, 1009439.26830000 1663179.61200000, 1009456.55700000 1663188.85300000, 1009471.71070000 1663201.28930000, 1009484.14700000 1663216.44300000, 1009493.38800000 1663233.73170000, 1009499.07850000 1663252.49100000",7,0,3,9,1,기타,1009384,1663273
